gene_a,gene_b,condition,interaction,user_question,full_query
BRP1,DST1,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of BRP1 and DST1 affect cell behavior when cells are exposed to dimethyl sulfate, and what synthetic genetic interactions can be observed under these conditions?","In Saccharomyces cerevisiae, how does the concurrent mutation of BRP1 and DST1 affect cell behavior when cells are exposed to dimethyl sulfate, and what synthetic genetic interactions can be observed under these conditions?"
BRP1,SAK1,DMS,non-sl,"In Saccharomyces cerevisiae, when both BRP1 and SAK1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both BRP1 and SAK1 are concurrently mutated and the cells are exposed to dimethyl sulfate, what synthetic genetic interaction is observed?"
FRM2,DST1,DMS,non-sl,"In Saccharomyces cerevisiae, when both FRM2 and DST1 are concurrently mutated and the cells are grown in the presence of dimethyl sulfate, how would you characterize the resulting synthetic genetic interaction?","In Saccharomyces cerevisiae, when both FRM2 and DST1 are concurrently mutated and the cells are grown in the presence of dimethyl sulfate, how would you characterize the resulting synthetic genetic interaction?"
PET117,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae strains where both PET117 and RPD3 are concurrently mutated and exposed to dimethyl sulfate, what form of synthetic genetic interplay emerges?","In Saccharomyces cerevisiae strains where both PET117 and RPD3 are concurrently mutated and exposed to dimethyl sulfate, what form of synthetic genetic interplay emerges?"
PET117,CDC73,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does a combined mutation in PET117 and CDC73 influence cellular behavior at the genetic interaction level?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does a combined mutation in PET117 and CDC73 influence cellular behavior at the genetic interaction level?"
PSH1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of PSH1 and RPD3 manifest under dimethyl sulfate treatment in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae, how does the concurrent mutation of PSH1 and RPD3 manifest under dimethyl sulfate treatment in terms of synthetic genetic interaction?"
ARG5/6,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the combined mutation of ARG5/6 and RAD23 alter the genetic interaction profile compared to individual mutations?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the combined mutation of ARG5/6 and RAD23 alter the genetic interaction profile compared to individual mutations?"
ARG5/6,SGS1,DMS,non-sl,"In Saccharomyces cerevisiae under dimethyl sulfate treatment, what synthetic genetic effect emerges when both ARG5/6 and SGS1 are concurrently impaired?","In Saccharomyces cerevisiae under dimethyl sulfate treatment, what synthetic genetic effect emerges when both ARG5/6 and SGS1 are concurrently impaired?"
ALG13,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of ALG13 and RAD23 impact the overall genetic interaction phenotype?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how does the concurrent mutation of ALG13 and RAD23 impact the overall genetic interaction phenotype?"
HXT14,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells harboring concurrent mutations in HXT14 and RPD3, how does treatment with dimethyl sulfate influence their genetic interplay?","In Saccharomyces cerevisiae cells harboring concurrent mutations in HXT14 and RPD3, how does treatment with dimethyl sulfate influence their genetic interplay?"
HXT14,DUN1,DMS,non-sl,"In Saccharomyces cerevisiae, I have engineered a strain with concurrent mutations in HXT14 and DUN1 and subjected it to dimethyl sulfate treatment; could you clarify what synthetic genetic interaction phenotype emerges under these experimental parameters?","In Saccharomyces cerevisiae, I have engineered a strain with concurrent mutations in HXT14 and DUN1 and subjected it to dimethyl sulfate treatment; could you clarify what synthetic genetic interaction phenotype emerges under these experimental parameters?"
SIS1,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do simultaneous mutations in SIS1 and RPD3 affect the cellular phenotype, and what synthetic genetic interaction emerges under these conditions?","In Saccharomyces cerevisiae exposed to dimethyl sulfate, how do simultaneous mutations in SIS1 and RPD3 affect the cellular phenotype, and what synthetic genetic interaction emerges under these conditions?"
QCR8,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae cells carrying concurrent mutations in QCR8 and RPD3 and grown under dimethyl sulfate treatment, what is the observed genetic interplay between these mutations?","In Saccharomyces cerevisiae cells carrying concurrent mutations in QCR8 and RPD3 and grown under dimethyl sulfate treatment, what is the observed genetic interplay between these mutations?"
QCR8,DST1,DMS,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of QCR8 and DST1 affect the cell's response when exposed to dimethyl sulfate in terms of synthetic genetic interaction?","In Saccharomyces cerevisiae, how does the concurrent mutation of QCR8 and DST1 affect the cell's response when exposed to dimethyl sulfate in terms of synthetic genetic interaction?"
YNL013C,RPD3,DMS,non-sl,"In Saccharomyces cerevisiae engineered with concurrent mutations in YNL013C and RPD3, how does exposure to dimethyl sulfate affect the synthetic genetic interaction between these gene alterations?","In Saccharomyces cerevisiae engineered with concurrent mutations in YNL013C and RPD3, how does exposure to dimethyl sulfate affect the synthetic genetic interaction between these gene alterations?"
PAU2,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both PAU2 and RAD23 are mutated and cells are exposed to dimethyl sulfate, what pattern of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both PAU2 and RAD23 are mutated and cells are exposed to dimethyl sulfate, what pattern of synthetic genetic interaction is observed?"
PAU2,HO,DMS,non-sl,"In Saccharomyces cerevisiae, we have a strain where PAU2 and HO genes have been concurrently mutated and the cells are exposed to dimethyl sulfate. Could you shed light on the genetic interplay that emerges under these experimental conditions?","In Saccharomyces cerevisiae, we have a strain where PAU2 and HO genes have been concurrently mutated and the cells are exposed to dimethyl sulfate. Could you shed light on the genetic interplay that emerges under these experimental conditions?"
HXT17,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae treated with dimethyl sulfate, how does the simultaneous mutation of HXT17 and RAD23 affect cell viability and overall interaction between these pathways?","In Saccharomyces cerevisiae treated with dimethyl sulfate, how does the simultaneous mutation of HXT17 and RAD23 affect cell viability and overall interaction between these pathways?"
TUF1,RAD23,DMS,synthetic lethality,"In Saccharomyces cerevisiae, how does the phenotype change under dimethyl sulfate treatment when TUF1 and RAD23 are concurrently mutated? I'm interested in understanding the synthetic genetic relationship between these gene disruptions.","In Saccharomyces cerevisiae, how does the phenotype change under dimethyl sulfate treatment when TUF1 and RAD23 are concurrently mutated? I'm interested in understanding the synthetic genetic relationship between these gene disruptions."
TUF1,YNL097C,DMS,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous mutation of TUF1 and YNL097C affect cellular behavior when exposed to dimethyl sulfate?","In Saccharomyces cerevisiae, how does the simultaneous mutation of TUF1 and YNL097C affect cellular behavior when exposed to dimethyl sulfate?"
YNR061C,RAD23,DMS,non-sl,"In Saccharomyces cerevisiae, when both YNR061C and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, what kind of synthetic genetic interaction would you predict under these specific conditions?","In Saccharomyces cerevisiae, when both YNR061C and RAD23 are concurrently mutated and the cells are exposed to dimethyl sulfate, what kind of synthetic genetic interaction would you predict under these specific conditions?"
WSC3,RAD51,DMS,synthetic lethality,"In Saccharomyces cerevisiae under dimethyl sulfate treatment, how does the simultaneous disruption of WSC3 and RAD51 influence cellular dynamics?","In Saccharomyces cerevisiae under dimethyl sulfate treatment, how does the simultaneous disruption of WSC3 and RAD51 influence cellular dynamics?"
WSC3,SSM4,DMS,non-sl,"In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the simultaneous disruption of WSC3 and SSM4 influence the genetic interaction profile?","In Saccharomyces cerevisiae subjected to dimethyl sulfate treatment, how does the simultaneous disruption of WSC3 and SSM4 influence the genetic interaction profile?"
PHO2,RAD51,DMS,non-sl,"In Saccharomyces cerevisiae with simultaneous disruption of PHO2 and RAD51, how does exposure to dimethyl sulfate affect the nature of their synthetic genetic interaction?","In Saccharomyces cerevisiae with simultaneous disruption of PHO2 and RAD51, how does exposure to dimethyl sulfate affect the nature of their synthetic genetic interaction?"
GSG1,RPD3,DMS,synthetic lethality,"In Saccharomyces cerevisiae, when both GSG1 and RPD3 are mutated and the cells are exposed to dimethyl sulfate, how does the interplay between these genetic alterations manifest in terms of cellular response?","In Saccharomyces cerevisiae, when both GSG1 and RPD3 are mutated and the cells are exposed to dimethyl sulfate, how does the interplay between these genetic alterations manifest in terms of cellular response?"
