gene_a,gene_b,condition,interaction,user_question,full_query
COX23,RAD54,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the simultaneous mutation of COX23 and RAD54 influence cellular outcomes when exposed to bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous mutation of COX23 and RAD54 influence cellular outcomes when exposed to bleomycin?"
COX23,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the simultaneous alteration of COX23 and SGS1 impact the cells when grown in the presence of bleomycin?","In Saccharomyces cerevisiae, how does the simultaneous alteration of COX23 and SGS1 impact the cells when grown in the presence of bleomycin?"
YOR365C,RAD54,BLEO,non-sl,"In Saccharomyces cerevisiae cultured under bleomycin treatment, what synthetic genetic interaction emerges from the concurrent mutation of YOR365C and RAD54?","In Saccharomyces cerevisiae cultured under bleomycin treatment, what synthetic genetic interaction emerges from the concurrent mutation of YOR365C and RAD54?"
THP2,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae cultured with bleomycin, what effect does the simultaneous disruption of THP2 and RPD3 have on cell viability and genetic regulation, and how is the synthetic genetic interaction manifested?","In Saccharomyces cerevisiae cultured with bleomycin, what effect does the simultaneous disruption of THP2 and RPD3 have on cell viability and genetic regulation, and how is the synthetic genetic interaction manifested?"
THP2,CHD1,BLEO,non-sl,"In Saccharomyces cerevisiae, how do the combined mutations in THP2 and CHD1 influence genetic interaction outcomes when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how do the combined mutations in THP2 and CHD1 influence genetic interaction outcomes when cells are exposed to bleomycin?"
SWM2,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does combining loss-of-function mutations in SWM2 and RPD3 influence cellular behavior when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does combining loss-of-function mutations in SWM2 and RPD3 influence cellular behavior when cells are exposed to bleomycin?"
YJL171C,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, how does the combined disruption of YJL171C and RAD51 affect genetic interactions under this specific condition?","In Saccharomyces cerevisiae exposed to bleomycin, how does the combined disruption of YJL171C and RAD51 affect genetic interactions under this specific condition?"
YJL171C,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, I am investigating the concurrent mutation of YJL171C and SGS1 under exposure to bleomycin. Could you elaborate on the synthetic genetic interaction that emerges under these conditions?","In Saccharomyces cerevisiae, I am investigating the concurrent mutation of YJL171C and SGS1 under exposure to bleomycin. Could you elaborate on the synthetic genetic interaction that emerges under these conditions?"
YJL206C-A,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the combined mutation of YJL206C-A and RAD51 affect cellular response when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the combined mutation of YJL206C-A and RAD51 affect cellular response when cells are exposed to bleomycin?"
ATG10,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of ATG10 and RPD3 affect cell behavior when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of ATG10 and RPD3 affect cell behavior when cells are exposed to bleomycin?"
ATG10,DNL4,BLEO,non-sl,"In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of ATG10 and DNL4 affect cellular fitness compared to the single mutants?","In Saccharomyces cerevisiae treated with bleomycin, how does the concurrent mutation of ATG10 and DNL4 affect cellular fitness compared to the single mutants?"
GSP2,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when cells harbor concurrent disruptions in the GSP2 and RPD3 genes and are exposed to bleomycin, how are the mutant phenotypes interacting?","In Saccharomyces cerevisiae, when cells harbor concurrent disruptions in the GSP2 and RPD3 genes and are exposed to bleomycin, how are the mutant phenotypes interacting?"
MGR2,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when both MGR2 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, how would you describe the resulting synthetic genetic interaction?","In Saccharomyces cerevisiae, when both MGR2 and RPD3 are concurrently mutated and the cells are exposed to bleomycin, how would you describe the resulting synthetic genetic interaction?"
MGR2,BLM10,BLEO,non-sl,"In Saccharomyces cerevisiae harboring concurrent mutations in MGR2 and BLM10, what outcome do you observe in terms of genetic interplay when the cells are subjected to bleomycin treatment?","In Saccharomyces cerevisiae harboring concurrent mutations in MGR2 and BLM10, what outcome do you observe in terms of genetic interplay when the cells are subjected to bleomycin treatment?"
UBC11,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, when both UBC11 and RPD3 are mutated and the cells are exposed to bleomycin, what kind of synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both UBC11 and RPD3 are mutated and the cells are exposed to bleomycin, what kind of synthetic genetic interaction is observed?"
MSC1,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of MSC1 and RSC1 affect the cell phenotype when cultures are treated with bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of MSC1 and RSC1 affect the cell phenotype when cultures are treated with bleomycin?"
MSC1,RAD54,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of MSC1 and RAD54 affect the cellular phenotype when the cells are grown under bleomycin treatment conditions?","In Saccharomyces cerevisiae, how does the concurrent mutation of MSC1 and RAD54 affect the cellular phenotype when the cells are grown under bleomycin treatment conditions?"
BIM1,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae bearing concurrent mutations in BIM1 and RSC1 and exposed to bleomycin, how does the overall phenotype deviate compared to the individual mutations, revealing their combined genetic interaction?","In Saccharomyces cerevisiae bearing concurrent mutations in BIM1 and RSC1 and exposed to bleomycin, how does the overall phenotype deviate compared to the individual mutations, revealing their combined genetic interaction?"
ADO1,RSC1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae exposed to bleomycin, what synthetic genetic interaction emerges when both ADO1 and RSC1 are concurrently mutated?","In Saccharomyces cerevisiae exposed to bleomycin, what synthetic genetic interaction emerges when both ADO1 and RSC1 are concurrently mutated?"
ADO1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of ADO1 and SGS1 affect cellular phenotypes when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of ADO1 and SGS1 affect cellular phenotypes when the cells are exposed to bleomycin?"
TAM41,RSC1,BLEO,non-sl,"In Saccharomyces cerevisiae, when both TAM41 and RSC1 are concurrently altered and the cells are exposed to bleomycin, what synthetic genetic interaction emerges?","In Saccharomyces cerevisiae, when both TAM41 and RSC1 are concurrently altered and the cells are exposed to bleomycin, what synthetic genetic interaction emerges?"
ARP8,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, how does the concurrent mutation of ARP8 and DST1 affect the organism’s response when exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of ARP8 and DST1 affect the organism’s response when exposed to bleomycin?"
ARP8,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of ARP8 and SGS1 influence the synthetic genetic interaction when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of ARP8 and SGS1 influence the synthetic genetic interaction when the cells are exposed to bleomycin?"
VMR1,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae, if VMR1 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what can be observed regarding the resulting genetic interplay?","In Saccharomyces cerevisiae, if VMR1 and DST1 are concurrently mutated and the cells are exposed to bleomycin, what can be observed regarding the resulting genetic interplay?"
TEX1,RPD3,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, we have engineered simultaneous mutations in the TEX1 and RPD3 genes and are assessing their impact under bleomycin treatment. Could you provide insights on the resulting synthetic genetic interaction observed under these experimental conditions?","In Saccharomyces cerevisiae, we have engineered simultaneous mutations in the TEX1 and RPD3 genes and are assessing their impact under bleomycin treatment. Could you provide insights on the resulting synthetic genetic interaction observed under these experimental conditions?"
TEX1,SIN3,BLEO,non-sl,"In Saccharomyces cerevisiae, when both TEX1 and SIN3 are concurrently mutated and the cells are subjected to bleomycin treatment, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both TEX1 and SIN3 are concurrently mutated and the cells are subjected to bleomycin treatment, what synthetic genetic interaction is observed?"
HAT1,RPD3,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of HAT1 and RPD3 affect cellular behavior when the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of HAT1 and RPD3 affect cellular behavior when the cells are exposed to bleomycin?"
YDL242W,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae treated with bleomycin, how does the combination of mutations in YDL242W and RAD51 affect the observed genetic interactions?","In Saccharomyces cerevisiae treated with bleomycin, how does the combination of mutations in YDL242W and RAD51 affect the observed genetic interactions?"
YDL242W,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, if both YDL242W and SGS1 are concurrently disrupted and the cells are exposed to bleomycin, what outcome do you observe regarding their combined effect on growth or viability compared to the single mutant strains?","In Saccharomyces cerevisiae, if both YDL242W and SGS1 are concurrently disrupted and the cells are exposed to bleomycin, what outcome do you observe regarding their combined effect on growth or viability compared to the single mutant strains?"
CST26,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae subjected to bleomycin, how does the simultaneous mutation of CST26 and RAD51 influence cell viability and interact at a genetic level?","In Saccharomyces cerevisiae subjected to bleomycin, how does the simultaneous mutation of CST26 and RAD51 influence cell viability and interact at a genetic level?"
GPI15,DST1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae under exposure to bleomycin, how does the concurrent mutation of GPI15 and DST1 influence cellular phenotypes, and what synthetic genetic interaction can be observed between these altered genes?","In Saccharomyces cerevisiae under exposure to bleomycin, how does the concurrent mutation of GPI15 and DST1 influence cellular phenotypes, and what synthetic genetic interaction can be observed between these altered genes?"
GPI15,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, I have concurrently mutated GPI15 and SGS1 and exposed the cells to bleomycin. Could you provide insights into the resulting genetic interplay under this specific condition?","In Saccharomyces cerevisiae, I have concurrently mutated GPI15 and SGS1 and exposed the cells to bleomycin. Could you provide insights into the resulting genetic interplay under this specific condition?"
SAP30,DST1,BLEO,non-sl,"In Saccharomyces cerevisiae under treatment with bleomycin, what genetic interaction arises when both the SAP30 and DST1 genes are concurrently mutated?","In Saccharomyces cerevisiae under treatment with bleomycin, what genetic interaction arises when both the SAP30 and DST1 genes are concurrently mutated?"
YOL013W-A,RAD9,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, what is the impact on cellular fitness when both YOL013W-A and RAD9 are concurrently mutated and the cells are exposed to bleomycin?","In Saccharomyces cerevisiae, what is the impact on cellular fitness when both YOL013W-A and RAD9 are concurrently mutated and the cells are exposed to bleomycin?"
YOL013W-A,RAD57,BLEO,non-sl,"In Saccharomyces cerevisiae, when both YOL013W-A and RAD57 are concurrently mutated and the cells are exposed to bleomycin, what kind of genetic interplay does this double alteration produce?","In Saccharomyces cerevisiae, when both YOL013W-A and RAD57 are concurrently mutated and the cells are exposed to bleomycin, what kind of genetic interplay does this double alteration produce?"
TRM112,RAD9,BLEO,non-sl,"In Saccharomyces cerevisiae with concurrent mutations in TRM112 and RAD9 under bleomycin treatment, what synthetic genetic interaction emerges between these alterations?","In Saccharomyces cerevisiae with concurrent mutations in TRM112 and RAD9 under bleomycin treatment, what synthetic genetic interaction emerges between these alterations?"
FAP1,RAD51,BLEO,synthetic lethality,"In Saccharomyces cerevisiae, when FAP1 and RAD51 are concurrently mutated and the cultures are exposed to bleomycin, what synthetic genetic interaction manifests under these conditions?","In Saccharomyces cerevisiae, when FAP1 and RAD51 are concurrently mutated and the cultures are exposed to bleomycin, what synthetic genetic interaction manifests under these conditions?"
FAP1,YLR422W,BLEO,non-sl,"In Saccharomyces cerevisiae, when both FAP1 and YLR422W are mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed?","In Saccharomyces cerevisiae, when both FAP1 and YLR422W are mutated and the cells are exposed to bleomycin, what synthetic genetic interaction is observed?"
CIN8,RAD51,BLEO,non-sl,"In Saccharomyces cerevisiae, when both CIN8 and RAD51 are concurrently mutated and the cells are exposed to bleomycin, how does the synthetic genetic interaction manifest?","In Saccharomyces cerevisiae, when both CIN8 and RAD51 are concurrently mutated and the cells are exposed to bleomycin, how does the synthetic genetic interaction manifest?"
NUT1,TEP1,BLEO,synthetic lethality,How does the concurrent mutation of NUT1 and TEP1 affect cell viability and genetic interplay in Saccharomyces cerevisiae when the cells are treated with bleomycin?,How does the concurrent mutation of NUT1 and TEP1 affect cell viability and genetic interplay in Saccharomyces cerevisiae when the cells are treated with bleomycin?
NUT1,SGS1,BLEO,non-sl,"In Saccharomyces cerevisiae, how does the concurrent mutation of NUT1 and SGS1 affect cellular fitness when cells are exposed to bleomycin?","In Saccharomyces cerevisiae, how does the concurrent mutation of NUT1 and SGS1 affect cellular fitness when cells are exposed to bleomycin?"
YLR253W,TEP1,BLEO,non-sl,"In Saccharomyces cerevisiae cells harboring mutations in both YLR253W and TEP1 and cultured in the presence of bleomycin, what synthetic genetic interaction is observable in terms of cellular growth or survival?","In Saccharomyces cerevisiae cells harboring mutations in both YLR253W and TEP1 and cultured in the presence of bleomycin, what synthetic genetic interaction is observable in terms of cellular growth or survival?"
PEA2,TEL1,BLEO,synthetic lethality,"In Saccharomyces cerevisiae with concurrent mutations in PEA2 and TEL1 treated with bleomycin, how is the resulting genetic interplay characterized?","In Saccharomyces cerevisiae with concurrent mutations in PEA2 and TEL1 treated with bleomycin, how is the resulting genetic interplay characterized?"
